region,route_name,segment_id,lat,lon,street,side,material_actual,condition_actual,sidewalk_present,width_feel,access_actual,crossing_quality,subj_walkability,notes
other,seaport_congress,route_overall,42.351,-71.0445,Congress St (Seaport),both,,,yes,wide,public,,4,"model 40, feels ~80. SAFETY/env consistently too low: wide sidewalk + many pedestrians + regulated crossings. Crossings (not env) should be the lowering factor. surf=0.69 segs2-5 slightly low."
other,downtown_crossing_financial,route_overall,42.3556,-71.0601,Washington/Spring Ln,both,,,yes,,public,,4,"model 59, feels ~75. env too low again. routing takes wrong side of Washington (extra crossing seg3) and Spring Lane (feels like a back alley) over Water St."
other,jp_centre_st,route_overall,42.3169,-71.1099,Centre St (JP),both,,,yes,,public,,4,"model 67, feels ~75. env too low again (residential main street)."
beacon_hill,beacon_hill_charles_to_louisburg,route_overall,42.3592,-71.0707,,both,,,,,,,4,[2026-06-24 survey] model 87; about right (ideal 83-88). zig-zag: seg1 takes EAST side of West Cedar rather than west. ground good.
back_bay,back_bay_comm_ave_mall,route_overall,42.3522,-71.0762,,both,,,,,,,5,"[2026-06-24 survey] model 89; slightly low (ideal 90-95, may be ok after distribution change). safety slightly too low -> check Newbury St tags. ground good."
north_end,north_end_hanover,route_overall,42.363,-71.0561,,both,,,,,,,4,"[2026-06-24 survey] model 88; slightly high (ideal 80-85). surface erratic (check formula): only N Bennet Pl & St <=.86 but tiny (2m,32m); Salem St extremely narrow. would NOT walk -> Hanover feels more walkable despite larger street. Polcari Park (seg3) has no trees."
south_end,south_end_tremont_shops,route_overall,42.3414,-71.0755,,both,,,,,,,4,[2026-06-24 survey] model 84; slightly high (ideal 77-82); slightly LOW w/ revised seg2 (ideal 85-90). safety-eyes maybe too high seg2. would NOT walk -> seg2 passes through a PARKING LOT. check seg2.
newmarket_massave,newmarket_mass_ave_industrial,route_overall,42.3345,-71.0685,,both,,,,,,,3,[2026-06-24 survey] model 72; slightly high (ideal 63-68). surface too high segs 8&9 (OUTDATED surface scores). would walk. NOTE: low safety should punish overall MORE -> great first half ~4 but bad second half ~2.
nubian_roxbury,nubian_roxbury_washington,route_overall,42.329,-71.083,,both,,,,,,,3,[2026-06-24 survey] model 74; about right (ideal 70-75). would walk. ground good. NOTE: avoids busy Dudley for residential Zeigler; correctly differentiates adjacent parallel Dearborn vs Mount Pleasant on env+highway_type.
charlestown_sullivan,charlestown_sullivan_sq,route_overall,42.382,-71.071,,both,,,,,,,3,"[2026-06-24 survey] model 68; about right (ideal 65-70). comfort slightly high segs 6&7 (PARKING LOTS, not in dataset). NOTE: much better routing; forced walk down Medford to reach a legal crossing (good: model finds legal crossing) but Bunker Hill might be better (no change)."
seaport,seaport_congress,route_overall,42.351,-71.0445,,both,,,,,,,4,[2026-06-24 survey] model 72; LOW (ideal 80-85). safety still too low (likely segs 1&2). would walk. ground good.
downtown_crossing,downtown_crossing_financial,route_overall,42.3556,-71.0601,,both,,,,,,,4,[2026-06-24 survey] model 86; about right (ideal 83-88). would walk. ground good.
jamaica_plain,jp_centre_st,route_overall,42.3169,-71.1099,,both,,,,,,,4,[2026-06-24 survey] model 87; about right (ideal 83-88). would walk (maybe Spring Park Ave + Centre St shorter at lower alpha). ground good.
allston,allston_harvard_ave,route_overall,42.353,-71.1314,,both,,,,,,,4,[2026-06-24 survey] model 86; slightly high (ideal 80-85). env slightly high seg1. detours via Park Vale to avoid busy Harvard Ave / limit Brighton Ave -> unintuitive but a good alternative. ground fine.
fenway,fenway_kenmore_brookline_ave,route_overall,42.346,-71.0975,,both,,,,,,,4,[2026-06-24 survey] model 78; slightly low (ideal 80-85). env slightly low segs 2&5. would NOT walk -> zig-zags across New Jersey St (should take EAST side); takes SOUTH side of Queensberry rather than north. couldn't find steps in seg1.
dorchester,dorchester_fields_corner,route_overall,42.3001,-71.0592,,both,,,,,,,3,"[2026-06-24 survey] model 52; slightly low (ideal 55-60). PATH too low + SAFETY too high (sidewalks next to Dorchester Ave usable, but that proximity should LOWER safety). would walk. Lincoln (seg2) less residential than expected."
roslindale,roslindale_square,route_overall,42.2872,-71.1295,,both,,,,,,,4,[2026-06-24 survey] model 81; about right (ideal 77-82). doesn't recognize latter half of seg2 is adjacent to DESTINATION -> creates zigzag (end-snap). ground good. retry after dest fix (removes post-dest segs 3&4).
charlestown_main,charlestown_main_thompson_sq,route_overall,42.3772,-71.0623,,both,,,,,,,4,[2026-06-24 survey] model 90; slightly high (ideal 83-88). comfort maybe too high -> streets very narrow (check segments contain width). would walk.
west_roxbury,west_roxbury_centre_st,route_overall,42.2855,-71.16,,both,,,,,,,4,[2026-06-24 survey] model 85; about right (ideal 85-90). PATH slightly low -> residential roads have good sidewalks here. would walk. seg8 equally residential as seg3/4 but tagged residential not footway.
west_roxbury,west_roxbury_centre_st,seg6_lagrange_st,42.2855,-71.16,Lagrange St,both,,,yes,,,na,,"[2026-06-26] seg6 (Lagrange St) tagged highway=secondary so it takes a road-class penalty, while seg3 (same real-world street type) is not tagged secondary and takes none. Lagrange IS decently wide so SOME penalty is fair, but applying it to one and not the other is inconsistent OSM labeling we can't fix in the model — a known data-quality limitation (cf. the seg8 residential-vs-footway tagging note above)."
mission_hill,mission_hill_tremont,route_overall,42.3325,-71.0985,,both,,,,,,,4,"[2026-06-24 survey] model 86; HIGH (ideal 78-83). seg2 environment too high. would walk. ground good, no clear elevation changes."
longwood,longwood_medical_area,route_overall,42.3375,-71.103,,both,,,,,,,4,"[2026-06-24 survey] model 83; about right (ideal 83-88). safety too low. WRONG-SIDE issues. ground ok. NOTE: problem is seg4, which wouldn't exist after side issues resolved."
chinatown,chinatown_beach_essex,route_overall,42.3515,-71.0615,,both,,,,,,,4,[2026-06-24 survey] model 79; about right (ideal 75-80). WRONG-SIDE issues on Kneeland St. slightly outdated surf segs 1&2.
south_boston,south_boston_broadway,route_overall,42.337,-71.05,,both,,,,,,,4,[2026-06-24 survey] model 85; about right (ideal 80-85). safety slightly too high. WRONG-SIDE issues throughout. ground good.
